球員,背號,球隊,出賽次數,時間 (分),兩分命中,兩分出手,兩分%,三分命中,三分出手,三分%,罰球命中,罰球出手,罰球%,得分,攻板,防板,籃板,助攻,抄截,阻攻,失誤,犯規
關達祐,6,桃園領航猿,5,20:56,1.8,4.6,39.13%,0.2,2.8,7.14%,0.8,1.2,66.67%,5.0,0.6,3.8,4.4,2.4,0.6,0.0,1.6,2.4
林耀宗,7,桃園領航猿,5,34:00,3.4,8.4,40.48%,0.0,0.2,0%,0.6,2.8,21.43%,7.4,2.2,6.2,8.4,4.0,2.6,0.0,2.4,2.0
陳世杰,8,桃園領航猿,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陳冠全,30,桃園領航猿,5,27:21,2.2,5.2,42.31%,0.4,1.4,28.57%,1.6,2.0,80%,7.2,0.6,3.0,3.6,1.2,0.2,0.4,1.4,2.0
孫思堯,15,桃園領航猿,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
陳靖寰,23,桃園領航猿,5,09:12,0.0,0.8,0%,0.4,1.6,25%,0.0,0.0,0%,1.2,0.4,1.6,2.0,0.4,0.0,0.0,1.0,1.4
施晉堯,28,桃園領航猿,5,37:20,2.6,8.0,32.5%,1.8,7.0,25.71%,1.6,2.8,57.14%,12.2,0.2,4.4,4.6,2.6,2.4,0.4,3.2,3.4
彭俊諺,63,桃園領航猿,4,10:09,0.5,1.75,28.57%,0.5,2.5,20%,0.0,0.0,0%,2.5,0.0,0.25,0.25,1.0,1.5,0.0,1.75,1.5
張耕淯,29,桃園領航猿,5,26:45,2.4,6.4,37.5%,1.6,3.6,44.44%,2.2,2.8,78.57%,11.8,1.0,2.8,3.8,1.2,0.8,0.0,1.2,1.2
林正,25,桃園領航猿,5,13:22,1.0,2.8,35.71%,0.0,0.2,0%,0.0,0.0,0%,2.0,1.0,2.6,3.6,0.8,0.0,0.6,1.0,0.8
