球員,背號,球隊,出賽次數,時間 (分),兩分命中,兩分出手,兩分%,三分命中,三分出手,三分%,罰球命中,罰球出手,罰球%,得分,攻板,防板,籃板,助攻,抄截,阻攻,失誤,犯規
賴廷恩,0,臺北富邦勇士,23,12:12,1.0,2.0,50%,0.57,1.57,36.11%,0.09,0.09,100%,3.78,0.39,1.0,1.39,1.57,1.22,0.0,0.83,1.09
林書緯,1,臺北富邦勇士,17,23:15,1.76,3.76,46.88%,1.76,5.06,34.88%,0.53,1.06,50%,9.35,1.06,2.29,3.35,3.59,1.47,0.18,2.0,1.24
簡偉儒,2,臺北富邦勇士,23,21:31,1.04,2.74,38.1%,1.78,5.09,35.04%,1.09,1.43,75.76%,8.52,0.48,2.35,2.83,2.17,0.61,0.04,1.35,1.09
林冠均,6,臺北富邦勇士,0,00:00,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
張伯維,7,臺北富邦勇士,10,11:20,1.3,2.5,52%,0.5,2.6,19.23%,0.3,0.5,60%,4.4,0.3,0.7,1.0,0.1,0.3,0.3,0.8,1.2
周桂羽,8,臺北富邦勇士,18,07:32,0.33,1.17,28.57%,0.17,0.72,23.08%,0.22,0.22,100%,1.39,0.28,0.5,0.78,1.28,0.06,0.11,0.61,0.72
郭少傑,9,臺北富邦勇士,7,07:34,0.71,1.0,71.43%,0.14,1.57,9.09%,0.43,0.86,50%,2.29,0.71,0.14,0.86,0.29,0.14,0.0,0.71,0.43
林志傑,12,臺北富邦勇士,16,25:57,2.19,3.88,56.45%,1.69,6.06,27.84%,2.25,2.75,81.82%,11.69,0.88,4.88,5.75,3.88,0.94,0.13,2.0,1.38
林孟學,13,臺北富邦勇士,20,14:09,1.4,2.75,50.91%,0.05,0.55,9.09%,0.5,1.0,50%,3.45,0.8,1.4,2.2,0.6,0.4,0.25,0.75,0.95
蔡文誠,14,臺北富邦勇士,22,17:53,2.14,4.82,44.34%,0.59,1.18,50%,0.77,1.14,68%,6.82,1.5,2.73,4.23,1.86,1.0,0.18,1.23,1.27
曾祥鈞,21,臺北富邦勇士,24,20:41,2.71,5.13,52.85%,0.0,0.13,0%,0.88,1.71,51.22%,6.29,2.38,3.92,6.29,0.88,0.5,0.96,0.58,1.88
石博恩,23,臺北富邦勇士,14,11:12,0.93,2.21,41.94%,0.36,1.64,21.74%,0.43,0.71,60%,3.36,1.64,2.5,4.14,0.36,0.36,0.36,0.71,1.36
曾文鼎,76,臺北富邦勇士,15,15:04,1.07,1.8,59.26%,0.4,1.8,22.22%,0.13,0.4,33.33%,3.47,0.27,2.53,2.8,2.33,0.8,0.67,1.0,0.93
張宗憲,3,臺北富邦勇士,22,30:06,4.68,10.45,44.78%,1.55,4.5,34.34%,1.64,2.91,56.25%,15.64,0.68,1.82,2.5,2.86,1.77,0.09,2.14,1.55
